genre,dtg,mpaa,releasedate,budget,runtime,title
Romance,212508,Unrated,2015-12-04 00:00:00,nan,98,Fall in Love Like a Star
Drama / Thriller,208588,R,2015-08-07 00:00:00,nan,104,Dark Places
Action,206040,R,2015-10-30 00:00:00,nan,118,Heneral Luna
Comedy,0,R,2015-05-29 00:00:00,nan,99,Gemma Bovery
Foreign,0,R,2015-05-15 00:00:00,nan,135,The Connection
Foreign,0,Unrated,2015-03-20 00:00:00,nan,108,Love and Lost
Drama,187674,R,2015-09-25 00:00:00,nan,129,Stonewall
Drama / Thriller,187112,PG-13,2015-05-08 00:00:00,nan,95,Maggie
Foreign,185367,Unrated,2015-03-06 00:00:00,nan,,Detective K: Secret of the Lost Island
Crime,185093,Unrated,2015-11-26 00:00:00,nan,108,The Priests
Foreign,0,Unrated,2015-05-22 00:00:00,nan,93,The Farewell Party
Comedy / Drama,171793,PG-13,2015-09-11 00:00:00,nan,111,A Brilliant Young Mind
Drama,166775,Unrated,2015-09-09 00:00:00,nan,120,Time Out of Mind
Foreign,165428,Unrated,2015-02-27 00:00:00,nan,118,Snow Girl and the Dark Crystal
Foreign,164167,Unrated,2015-02-13 00:00:00,nan,122,C'Est Si Bon
Romantic Comedy,163406,Unrated,2015-11-11 00:00:00,nan,101,The Last Women Standing
Romance,162685,R,2015-04-03 00:00:00,nan,95,5 to 7
Romantic Comedy,161820,Unrated,2015-02-27 00:00:00,nan,102,After The Ball
Foreign,158549,Unrated,2015-01-09 00:00:00,nan,111,Human Capital
Drama,155575,PG-13,2015-10-16 00:00:00,nan,94,Experimenter
Drama,155271,PG-13,2015-04-10 00:00:00,nan,98,Desert Dancer
Foreign,151530,R,2015-07-24 00:00:00,nan,118,Samba
Foreign,150564,Unrated,2015-06-17 00:00:00,nan,132,The Tribe
Romance,149761,Unrated,2015-07-10 00:00:00,nan,107,Forever Young
Drama,146754,R,2015-09-18 00:00:00,nan,108,The New Girlfriend
Foreign,144501,Unrated,2015-04-17 00:00:00,nan,86,Tangerines
Drama,143101,PG-13,2015-06-19 00:00:00,nan,97,Manglehorn
Documentary,137722,Unrated,2015-11-13 00:00:00,nan,114,Ingrid Bergman: In Her Own Words
Foreign,136125,Unrated,2015-04-17 00:00:00,nan,115,Twenty
Drama,135392,Unrated,2015-03-20 00:00:00,nan,100,La Sapienza
Drama,130541,R,2015-09-25 00:00:00,nan,108,Mississippi Grind
Drama,127381,Unrated,2015-11-18 00:00:00,nan,122,A Journey Through Time with Anthony
Drama,126150,R,2015-07-10 00:00:00,nan,88,Boulevard
Drama,121461,PG-13,2015-08-28 00:00:00,nan,98,Z for Zachariah
Documentary,119388,Unrated,2015-07-10 00:00:00,nan,77,Do I Sound Gay?
Animation,115840,Unrated,2015-09-11 00:00:00,nan,99,Love Live! The School Idol Movie
Comedy,111996,R,2015-08-21 00:00:00,nan,93,She's Funny That Way
Action,111071,Unrated,2015-08-28 00:00:00,nan,121,Memories of the Sword
Documentary,109089,R,2015-07-17 00:00:00,nan,103,The Look of Silence
Drama,108083,Unrated,2015-09-11 00:00:00,nan,127,The Beauty Inside
Crime Thriller,105057,Unrated,2015-05-15 00:00:00,nan,102,The Chronicles of Evil
Drama,103536,R,2015-05-15 00:00:00,nan,93,Every Secret Thing
Crime Drama,101088,Unrated,2015-04-10 00:00:00,nan,103,Black Souls
Documentary,96592,Unrated,2015-07-01 00:00:00,nan,90,A Poem Is a Naked Person
Action Thriller,92696,Unrated,2015-10-02 00:00:00,nan,105,Saving Mr. Wu
Musical,91930,Unrated,2015-03-13 00:00:00,nan,138,The Tales of Hoffmann
Drama / Thriller,91218,Unrated,2015-08-26 00:00:00,nan,90,Queen of Earth
Action Drama,88675,Unrated,2015-09-11 00:00:00,nan,145,Hero
Documentary,0,PG,2015-05-22 00:00:00,nan,100,Sunshine Superman
Drama,80734,R,2015-05-29 00:00:00,nan,94,Heaven Knows What
Drama,79800,R,2015-10-23 00:00:00,nan,100,Nasty Baby
Drama,73378,Unrated,2015-10-30 00:00:00,nan,107,The Wonders
Sci-Fi Action,68372,R,2015-01-09 00:00:00,nan,97,Predestination
Comedy,67046,R,2015-08-14 00:00:00,nan,85,People Places Things
Foreign,65460,R,2015-06-19 00:00:00,nan,131,Eden
